garden_code,garden name,city,impervious_surface%_1000mbuffer,garden_area_ha
AKT,allmendekontor,Berlin,28.52,8084.25
ES,essbarestadt,Munich,51.43,636.03
FG,freiluftgarten,Munich,34.39,901.38
GASTS,gasts,Berlin,32.72,23924.91
GDB,gartenderbegegnung,Berlin,29.59,3843.48
GG,gruenspitz,Munich,60.24,400
GP,petuelpark,Munich,55.53,787.57
HB,himmelbeet,Berlin,58.45,1685.64
IGF,feuerwache,Munich,67.13,851.22
KF,fischerstr,Berlin,23.85,8738.35
KG,karlsfeld,Munich,9.57,549.83
KLG,klunkergarten,Berlin,96.16,1560.61
KP,knosporus,Munich,17.05,2951.93
OB,ottobrunn,Munich,36.75,2853.64
OBZ,obz,Munich,37.2,800.55
OPI,opflanztis,Munich,44.43,1027.96
PAS,plantaseed,Munich,79.47,400
PGK,prinzessinnengarten,Berlin,20.88,1517
POL,peaceofland,Berlin,38.61,3900.41
PWVK,vattenfallkoepenicker,Berlin,63.42,1469.39
RB,rotebeete,Berlin,45.58,557.02
SA,stadtacker,Munich,49.49,1203.02
SCH,schalottengarten,Berlin,24.45,432.72
SFM,spielfeld,Berlin,27.82,676.78
SG,suedgarten,Munich,63.95,946.47
SS,sonnengarten,Munich,25.32,1433.52
VG,vollguter,Berlin,90.32,1134.21
WG,werks,Munich,70.68,2916.21
WL,wachsenlassen,Berlin,55.67,1493.21
WS,wieckerstr,Berlin,49.43,6530.69
KGP,klostergarten,Munich,53.37,2608.83
MG,mauergarten,Berlin,63.6,1946.23
PAS,plantaseed,Munich,79.43,400
ZKU,zku,Berlin,83,1237.59
