"Species","Cultivated","Wild"
"Acer.campestre",NA,"X"
"Acer.ginnala",NA,"X"
"Acer.negundo",NA,"X"
"Acer.platanoides",NA,"X"
"Acer.pseudoplatanus",NA,"X"
"Acer.saccharinum",NA,"X"
"Acer.sp.","X","X"
"Achillea.chrysocoma","X",NA
"Achillea.filipendulina","X","X"
"Achillea.macrophylla","X",NA
"Achillea.millefolium","X","X"
"Achillea.sp.","X",NA
"Aconitum.lycoctonum",NA,"X"
"Aegonychon.purpurocaeruleum",NA,"X"
"Aegopodium.podagraria","X","X"
"Aethusa.cynapium","X","X"
"Agastache.foeniculum","X","X"
"Agastache.rugosa","X",NA
"Agrimonia.eupatoria","X","X"
"Agrostemma.githago","X","X"
"Ailanthus.altissima",NA,"X"
"Ajuga.reptans","X","X"
"Alcea.rosea","X","X"
"Alcea.sp.","X",NA
"Alchemilla.mollis","X","X"
"Alchemilla.sp.","X","X"
"Alchemilla.vulgaris","X","X"
"Alliaria.petiolata","X","X"
"Allium.aflatunense","X",NA
"Allium.ampeloprasum","X","X"
"Allium.ascalonicum","X",NA
"Allium.cepa","X","X"
"Allium.fistulosum","X",NA
"Allium.giganteum","X",NA
"Allium.moly","X",NA
"Allium.odorum","X",NA
"Allium.paradoxum","X","X"
"Allium.sativum","X","X"
"Allium.schoenoprasum","X","X"
"Allium.sp.","X","X"
"Allium.sphaerocephalum","X",NA
"Allium.tuberosum","X",NA
"Allium.ursinum","X","X"
"Allium.vineale",NA,"X"
"Allium.viviparum","X","X"
"Aloysia.citrodora","X",NA
"Alpinia.officinarum","X",NA
"Althaea.officinalis","X","X"
"Amaranthus.blitum","X","X"
"Amaranthus.caudatus","X","X"
"Amaranthus.cruentus","X",NA
"Amaranthus.lividus",NA,"X"
"Amaranthus.retroflexus","X","X"
"Amaranthus.sp.","X","X"
"Amelanchier.sp.","X",NA
"Ammi.majus",NA,"X"
"Anagallis.arvensis",NA,"X"
"Anchusa.officinale",NA,"X"
"Anchusa.officinalis",NA,"X"
"Anemone.hupehensis","X",NA
"Anemone.sp.","X","X"
"Anemone.tomentosa","X",NA
"Anemone.x.hybrida","X",NA
"Anethum.graveolens","X","X"
"Angelica.archangelica","X","X"
"Antennaria.dioica","X",NA
"Anthemis.arvensis",NA,"X"
"Anthemis.tinctoria","X","X"
"Anthriscus.caucalis",NA,"X"
"Anthriscus.cerefolium","X","X"
"Anthriscus.sp.","X","X"
"Anthriscus.sylvestris",NA,"X"
"Antirrhinum.majus","X",NA
"Antirrhinum.sp.","X","X"
"Apium.graveolens","X",NA
"Aquilegia.atrata","X",NA
"Aquilegia.sp.","X","X"
"Aquilegia.vulgaris","X","X"
"Arabidopsis.thaliana",NA,"X"
"Arabis.hirsuta",NA,"X"
"Arabis.sp.","X",NA
"Arctium.lappa","X","X"
"Arctium.minus",NA,"X"
"Arctium.nemorosum",NA,"X"
"Arctium.sp.",NA,"X"
"Arctium.tomentosum",NA,"X"
"Arenaria.serpyllifolia",NA,"X"
"Argyranthemum.frutescens","X",NA
"Argyranthemum.sp.","X",NA
"Aristolochia.clematitis",NA,"X"
"Armeria.alpina","X",NA
"Armeria.maritima","X",NA
"Armoracia.rusticana","X","X"
"Arnica.montana","X",NA
"Artemisia.abrotanum","X","X"
"Artemisia.absinthium","X",NA
"Artemisia.dracunculus","X",NA
"Artemisia.sp.","X","X"
"Artemisia.verlotiorum","X","X"
"Artemisia.vulgaris","X","X"
"Asclepias.sp.","X",NA
"Asclepias.tuberosa","X",NA
"Asparagus.aethiopicus","X",NA
"Asparagus.officinalis","X",NA
"Asphodeline.lutea","X",NA
"Asplenium.scolopendrium","X",NA
"Aster.novae.angliae","X",NA
"Aster.sp.","X",NA
"Asterolinon.linum.stellatum",NA,"X"
"Astilbe.sp.","X",NA
"Astrantia.major",NA,"X"
"Atocion.armeria","X",NA
"Atriplex.hortensis","X","X"
"Atriplex.oblongifolia",NA,"X"
"Atriplex.patula",NA,"X"
"Atriplex.sp.","X","X"
"Aubrieta.deltoidea","X",NA
"Aubrieta.sp.","X",NA
"Aurina.saxatilis","X",NA
"Aurinia.saxatilis","X",NA
"Ballota.nigra",NA,"X"
"Baptisia.australis","X",NA
"Barbarea.intermedia",NA,"X"
"Barbarea.sp.",NA,"X"
"Barbarea.vulgaris","X","X"
"Basella.alba","X",NA
"Begonia.sp.","X",NA
"Bellis.perennis","X","X"
"Bellis.sylvestris","X",NA
"Bellis.x.perennis","X",NA
"Berberis.thunbergii","X",NA
"Berberis.vulgaris","X",NA
"Bergenia.crassifolia","X",NA
"Bergenia.sp.","X","X"
"Berteroa.incana","X","X"
"Beta.vulgaris","X","X"
"Betonica.sp.",NA,"X"
"Betula.pendula",NA,"X"
"Betula.sp.",NA,"X"
"Bidens.ferulifolia","X",NA
"Bidens.frondosa",NA,"X"
"Bidens.pilosa",NA,"X"
"Bidens.sp.",NA,"X"
"Bistorta.amplexicaulis","X",NA
"Bistorta.vivpara","X",NA
"Borago.officinalis","X","X"
"Brachyscome.iberidifolia","X",NA
"Brassica.juncea","X",NA
"Brassica.nigra",NA,"X"
"Brassica.oleracea","X","X"
"Brassica.rapa","X",NA
"Brassica.sp.","X","X"
"Brunnera.macrophylla","X",NA
"Bryonia.dioica",NA,"X"
"Buddleja.davidii","X",NA
"Buglossoides.arvensis",NA,"X"
"Bunias.orientalis","X",NA
"Buxus.sempervirens","X",NA
"Calamintha.menthifolia","X",NA
"Calendula.arvensis","X",NA
"Calendula.officinalis","X","X"
"Calendula.sp.","X","X"
"Calendula.stellata","X",NA
"Calepina.irregularis",NA,"X"
"Calibrachoa.sp.","X",NA
"Callistephus.chinensis","X","X"
"Calluna.vulgaris","X",NA
"Calystegia.sepium","X","X"
"Calystegia.sp.",NA,"X"
"Camelina.microcarpa",NA,"X"
"Camelina.sp.","X",NA
"Campanula.haylodgensis","X",NA
"Campanula.medium","X",NA
"Campanula.persicifolia","X","X"
"Campanula.poscharskyana","X",NA
"Campanula.rapunculoides","X","X"
"Campanula.sp.","X","X"
"Campanula.trachelium","X",NA
"Campsis.radicans","X",NA
"Canna.indica","X",NA
"Capsella.bursa.pastoris","X","X"
"Capsicum.annuum","X",NA
"Capsicum.frutescens","X",NA
"Capsicum.sp.","X",NA
"Cardamine.flexuosa",NA,"X"
"Cardamine.hirsuta","X","X"
"Cardamine.parviflora",NA,"X"
"Cardamine.pratensis",NA,"X"
"Cardamine.resedifolia",NA,"X"
"Cardamine.sp.","X","X"
"Cardiospermum.halicacabum","X",NA
"Carpinus.betulus",NA,"X"
"Carum.carvi","X","X"
"Caucalis.platycarpos",NA,"X"
"Centaurea.cyanus","X","X"
"Centaurea.fischeri","X",NA
"Centaurea.jacea",NA,"X"
"Centaurea.montana","X",NA
"Centaurea.nigra","X","X"
"Centaurea.scabiosa","X","X"
"Centaurea.sp.","X","X"
"Centaurea.triumfettii","X",NA
"Centranthus.ruber","X","X"
