"garden_yr","garden_yr_richness","garden_yr_diversity","garden_yr_total_cover","garden_yr_wild_richness","garden_yr_wild_diversity","garden_yr_wild_total_cover","garden_yr_cult_richness","garden_yr_cult_diversity","garden_yr_cult_total_cover","garden","city","impervious_1000","year","round","garden_yr_beta","garden_yr_beta_wild","garden_yr_beta_cult"
"AKT_2020",11.1666666666667,6.08042464098676,38.3333333333333,7.25,4.52457291755921,21.6666666666667,3.91666666666667,2.44636613272812,16.9166666666667,"AKT","Berlin",28.52,2020,1,0.916389546723398,0.897785548274988,0.936070687847691
"AKT_2021",7.13793103448276,3.95816304746628,46.2413793103448,4.44827586206897,3.04343757509399,21.9655172413793,2.51724137931034,1.56497623065893,23.2758620689655,"AKT","Berlin",28.52,2021,1,0.964499404390523,0.953020547224319,0.960555116988406
"AKT_2022",6.74193548387097,3.90424635483871,29.1290322580645,4.12903225806452,3.13695333797473,12.4838709677419,2.09677419354839,1.29142068683583,15.4193548387097,"AKT","Berlin",28.52,2022,1,0.970915036871088,0.962913981137152,0.966612025819889
"AKT_2023",7.41666666666667,4.22083941666667,43.375,5.25,3.37143939561204,31.3333333333333,1.29166666666667,0.9656883945983,13,"AKT","Berlin",28.52,2023,1,0.950472276321116,0.940514046194279,0.95296368418125
"ES_2021",7.6,Inf,40.1,3.45,2.51466596304343,11.975,4.05,3.1027316679931,27.825,"ES","Munich",51.43,2021,1,0.941549726789235,0.909154501423306,0.937280447611014
"ES_2022",6.38461538461539,4.19447587179487,25.8717948717949,3.43589743589744,2.75853685738004,9.12820512820513,2.71794871794872,2.00927244765945,16.1538461538462,"ES","Munich",51.43,2022,1,0.941727929930945,0.916379758099662,0.942919985563797
"ES_2023",8.61111111111111,4.93045111111111,42.6666666666667,3.66666666666667,2.62208859413303,11.0555555555556,4.44444444444444,3.0383194801993,31.1111111111111,"ES","Munich",51.43,2023,1,0.945110459469481,0.92901903894329,0.938695500813568
"FG_2021",8.51515151515152,4.66118636532691,45.4545454545455,5.36363636363636,3.8976783853469,19.6666666666667,2.84848484848485,1.91809429643293,24.8484848484848,"FG","Munich",34.39,2021,1,0.940509292071387,0.889482241805909,0.964860967677396
"FG_2022",6.54838709677419,3.70955590322581,34.1935483870968,4.38709677419355,3.02136412794956,16.9354838709677,2,1.30130657165644,16.9032258064516,"FG","Munich",34.39,2022,1,0.945659082901107,0.92582565328129,0.960849718779878
"FG_2023",7.46153846153846,4.01549723076923,57.8461538461538,3.61538461538462,2.42089231927927,23.0769230769231,2.92307692307692,1.9106368902464,33.8461538461538,"FG","Munich",34.39,2023,1,0.943172254334011,0.923424429420687,0.937859381565822
